ID,File,Latitude,Longitude,Species,Category,Environment
1,01-12_91407513-47_41094017-acer_pseudoplatanus.jpg,47.41094017,12.91407513,Acer pseudoplatanus,Deciduous,alpine
2,02-12_9140111-47_4105479-acer_pseudoplatanus.jpg,47.4105479,12.9140111,Acer pseudoplatanus,Deciduous,alpine
3,03-12_852151-47_41478152-acer_pseudoplatanus.jpg,47.41478152,12.852151,Acer pseudoplatanus,Deciduous,alpine
4,04-12_8479726-47_4155875-quercus_petraea.jpg,47.4155875,12.8479726,Quercus petraea,Deciduous,alpine
5,05-12_8497305-47_4150675-quercus-petraea.jpg,47.4150675,12.8497305,Quercus petraea,Deciduous,alpine
6,06-12_852384-47_4118062-quercus_petraea.jpg,47.4118062,12.852384,Quercus petraea,Deciduous,alpine
7,07-12_85257526-47_41228877-quercus_petraea.jpg,47.41228877,12.85257526,Quercus petraea,Deciduous,alpine
8,08-12_8503475-47_4123787-picea_abies.jpg,47.4123787,12.8503475,Picea abies,Coniferous,alpine
9,09-12_8521897-47_4153746-picea_abies.jpg,47.4153746,12.8521897,Picea abies,Coniferous,alpine
10,10-12_5170792-47_19694253-picea_abies.jpg,47.19694253,12.5170792,Picea abies,Coniferous,alpine
11,11-12_53015917-47_17850629-picea_abies.jpg,47.17850629,12.53015917,Picea abies,Coniferous,alpine
12,12-12_52976708-47_17840797-picea_abies.jpg,47.17840797,12.52976708,Picea abies,Coniferous,alpine
13,13-13_79341967-47_32676206-abies.jpg,47.32676206,13.79341967,Picea abies,Coniferous,alpine
14,14-14_64121541-47_53247619-acer_platanoides.jpg,47.53247619,14.64121541,Acer pseudoplatanus L.,Deciduous,alpine
15,15-15_8731585-48_01596291-prunus_domestica.jpg,48.01596291,15.8731585,Prunus domestica,Deciduous,flatland
16,16-16_04551998-47_82326539-quercus_kelloggii.jpg,47.82326539,16.04551998,Quercus kelloggii Newb.,Deciduous,flatland
17,17-16_15139967-47_94841865-pinus_thunbergii.jpg,47.94841865,16.15139967,Pinus thunbergii Parl.,Coniferous,flatland
18,18-12_53037775-47_17828647-picea_abies.jpg,47.17828647,12.53037775,Picea abies,Coniferous,alpine
19,19-12_5305927-47_1781673-picea_abies.jpg,47.1781673,12.5305927,Picea abies,Coniferous,alpine
20,20-12_5015662-47_0036783-larix_decidua.jpg,47.0036783,12.5015662,Larix decidua,Coniferous,alpine
21,21-12_4918012-47_0061237-larix_decidua.jpg,47.0061237,12.4918012,Larix decidua,Coniferous,alpine
22,22-12_494135-47_0062261-picea_abies.jpg,47.0062261,12.494135,Picea abies,Coniferous,alpine
23,23-12_50650904-47_01321435-Picea_abies.jpg,47.01321435,12.50650904,Picea abies,Coniferous,alpine
24,24-12_506564-47_0136468-picea_abies.jpg,47.0136468,12.506564,Picea abies,Coniferous,alpine
25,25-12_50690932-47_01418218-larix_decidua.jpg,47.01418218,12.50690932,Larix decidua,Coniferous,alpine
26,26-12_5020852-47_0169189-picea_abies.jpg,47.0169189,12.5020852,Picea abies,Coniferous,alpine
27,27-12_5014331-47_015111-larix_decidua.jpg,47.015111,12.5014331,Larix decidua,Coniferous,alpine
28,28-12_50282024-47_0154065-picea_abies.jpg,47.0154065,12.50282024,Picea abies,Coniferous,alpine
29,29-12_50300231-47_01606583-larix_decidua.jpg,47.01606583,12.50300231,Larix decidua,Coniferous,alpine
30,30-12_50167588-47_0163489-picea_abies.jpg,47.0163489,12.50167588,Picea abies,Coniferous,alpine
